"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"ds[, enumeratorID]",1,3,6,12,13,14,16,18,19,24,26,28,31,41,42,43,44,45,46,47,49,50,52,54,57,61,62,65,66,67,71,73,76,78,80,83,87,91,93,96,102,108,4001,10011,10013,10018,10021,10028,10031,10037,10038,10039,10040,10041,10043,10046,10047,10049,10050,10052,30003,30007,30019,30022,30024
"X.5",2,2,2,6,6,12,9,8,6,6,10,8,5,8,8,14,4,10,10,7,8,8,10,14,2,4,8,9,8,9,11,9,7,15,11,12,11,14,8,10,11,6,2,4,8,7,6,9,13,2,8,7,12,3,3,9,3,3,6,5,1,4,11,22,2
"instance_name",2,2,2,6,6,12,9,8,6,6,10,8,5,8,8,14,4,10,10,7,8,8,10,14,2,4,8,9,8,9,11,9,7,15,11,12,11,14,8,10,11,6,2,4,8,7,6,9,13,2,8,7,12,3,3,9,3,3,6,5,1,4,11,22,2
"survey_date",2,2,2,3,6,8,9,7,5,4,9,4,4,7,8,9,3,8,6,6,6,6,7,9,2,3,6,7,7,8,9,7,7,9,8,10,6,8,5,8,6,6,2,3,7,4,5,7,8,2,5,6,8,3,2,6,2,2,3,4,1,4,9,16,2
"survey_start",2,2,2,6,6,12,9,8,6,6,10,8,5,8,8,14,4,10,10,7,8,8,10,14,2,4,8,9,8,9,11,9,7,15,11,12,11,14,8,10,11,6,2,4,8,7,6,9,13,2,8,7,12,3,3,9,3,3,6,5,1,4,11,22,2
"enumerator_org",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"enumerator_id",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"upazilla_name",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
"union_name",2,2,2,3,4,6,6,6,3,2,7,4,5,5,5,6,3,5,4,6,4,5,7,7,2,3,4,5,7,6,8,5,5,7,6,7,4,7,5,6,5,6,2,3,6,3,6,5,5,2,5,4,7,3,2,4,2,2,3,3,1,4,6,9,2
"informed_consent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"survey_consent",1,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,1,1,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,1,3,2,3,2,2,1,2,2,2,2,2,2,1,2,2,3,1,2,2,3,2
"consent_received.respondent_info.respondent_age",2,2,2,4,5,6,5,8,4,4,9,4,4,6,7,10,3,6,6,2,5,4,6,7,1,4,5,8,6,5,7,3,5,6,7,6,8,8,5,5,8,4,2,0,4,6,2,5,8,2,7,5,5,1,1,6,0,2,4,2,1,2,7,8,1
"consent_received.respondent_info.respondent_gender",1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2
"consent_received.respondent_info.hh_head",1,2,1,3,2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,2,2,2,3,3,2,1,2,2,2,3,2,2,3,3,2,3,3,3,3,2,2,2,1,1,2,2,2,2,2,1,1,2,3,2,2,3,1,3,3,2,1,2,3,2,2
"consent_received.respondent_info.hh_gender",1,2,1,2,1,2,1,3,2,1,2,1,2,1,3,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,3,3,1,2,2,2,2,2,1,2,1,1,1,1,1,3,2,1,1,1,2,2,1,3,1,2,2,3,1,1,2,1,2
"consent_received.respondent_info.hh_size",2,2,2,4,3,6,6,4,3,2,6,4,4,5,3,7,2,3,6,1,3,3,2,5,1,3,5,6,5,4,4,3,5,4,4,6,3,6,4,3,6,3,2,0,3,4,2,3,4,2,6,4,3,1,1,6,0,2,4,2,1,2,4,5,1
"consent_received.individual_information.repeat_introduction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.individual_information.inividual_info_count",2,2,2,4,3,6,6,4,3,2,6,4,4,5,3,7,2,3,6,1,3,3,2,5,1,3,5,6,5,4,4,3,5,4,4,6,3,6,4,3,6,3,2,0,3,4,2,3,4,2,6,4,3,1,1,6,0,2,4,2,1,2,4,5,1
"consent_received.individual_information.adult_female_count",2,2,1,2,3,2,3,3,2,2,2,2,3,1,2,3,2,3,2,2,2,2,2,3,1,2,3,4,2,2,2,1,3,3,1,1,2,2,1,1,3,2,2,0,2,2,2,2,3,1,4,2,3,1,1,2,0,2,1,2,1,1,2,3,1
"consent_received.individual_information.boy_6_11_count",1,1,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,3,2,2,3,3,3,3,1,2,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,2,1,0,2,3,1,3,3,1,2,2,3,1,1,4,0,1,3,2,1,1,2,3,1
"consent_received.individual_information.girl_6_11_count",1,2,2,3,2,4,2,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,1,1,2,4,3,4,2,3,3,2,2,2,3,2,3,2,2,3,2,0,2,2,2,2,2,2,2,2,2,1,1,3,0,1,1,2,1,1,3,3,1
"consent_received.individual_information.boy_12_18_count",1,2,2,2,2,1,2,4,2,2,4,1,2,1,2,3,2,3,3,1,2,3,2,3,1,3,4,3,2,2,2,3,3,1,4,3,2,3,1,2,3,1,2,0,1,2,2,2,2,1,3,2,2,1,1,2,0,2,3,2,1,2,3,3,1
"consent_received.individual_information.girl_12_18_count",2,2,1,2,3,3,2,2,2,1,3,2,2,3,2,2,2,2,2,2,3,2,2,3,1,2,3,3,2,3,2,2,2,1,3,3,2,3,3,1,2,2,2,0,2,2,1,2,2,1,2,4,2,1,1,3,0,2,2,2,1,1,2,2,1
"consent_received.individual_information.individual_edu_aid_count",2,2,2,3,3,4,3,5,3,3,4,3,4,4,5,4,3,4,5,2,2,3,5,3,1,3,6,6,4,4,4,3,5,3,5,5,4,4,3,4,5,3,2,0,3,4,1,3,4,2,6,4,4,1,1,6,0,2,3,3,1,2,4,6,1
